,coef,std_err,t,p_value,ci_low,ci_high
const,35.8848,0.66788,53.72963,0.0,34.57577,37.19383
danceability,10.28318,0.47253,21.76198,0.0,9.35702,11.20933
energy,-2.28041,0.54264,-4.20242,3e-05,-3.34399,-1.21684
loudness,0.09592,0.02341,4.09724,4e-05,0.05004,0.14181
speechiness,-11.95423,0.63741,-18.7544,0.0,-13.20354,-10.70491
acousticness,-1.51439,0.31009,-4.88376,0.0,-2.12216,-0.90663
instrumentalness,-9.04043,0.2526,-35.79013,0.0,-9.53552,-8.54535
liveness,0.48133,0.37342,1.28898,0.19741,-0.25057,1.21322
valence,-8.0566,0.3228,-24.95877,0.0,-8.68928,-7.42392
tempo,0.00478,0.00235,2.03454,0.0419,0.00018,0.00938
